Station,Model,Step,Train R2,Test R2,MAE,MSE,RMSE,R2 Step,EVS,MAPE
7761,Decision Tree,5,1.0,0.37324176993716596,3.534864165588616,19.891075894782233,4.459941243422635,0.2632012152002692,0.26320150175564383,28.528933048674688
7761,Decision Tree,6,1.0,0.37324176993716596,3.5254851228978006,19.59620526088831,4.4267601313927445,0.27432418917252843,0.2747639126497292,28.509890397617134
7790,Random Forest,1,0.9859169411111108,0.7384946388169347,1.695740939044481,5.505710296952223,2.3464250034791703,0.8157076083618795,0.8161071178685418,14.60163945215659
7790,Random Forest,2,0.9859169411111108,0.7384946388169347,2.0684606672158155,7.470601020799011,2.733240022537174,0.7501260316466916,0.7504137734428732,18.125620310929307
7790,Random Forest,3,0.9859169411111108,0.7384946388169347,2.2123327841845137,8.218362959637561,2.8667687314531602,0.7255781278541755,0.7256717287924564,19.079667330294146
7790,Random Forest,4,0.9859169411111108,0.7384946388169347,2.2633527594728173,8.394512233319606,2.8973284648654536,0.720031415688221,0.7200344414608644,19.862671588221108
7790,Random Forest,5,0.9859169411111108,0.7384946388169347,2.3086326194398685,8.779428022240527,2.963009959861851,0.7074179374107465,0.7074456010437924,20.15318978148969
7790,Random Forest,6,0.9859169411111108,0.7384946388169347,2.3043204283360788,8.65348996952224,2.9416814867558725,0.7121067119398932,0.712126919390915,20.60893574853991
7790,Linear Regression,1,0.8662181516532975,0.7237205966096947,1.9309015949195512,6.47274862058154,2.544159708151503,0.7833379783132333,0.7838069451278211,16.60852952312382
7790,Linear Regression,2,0.8662181516532975,0.7237205966096947,2.2846635088086353,8.470531697232888,2.9104177874031913,0.7166807110489095,0.7195247234495884,20.33392977314992
7790,Linear Regression,3,0.8662181516532975,0.7237205966096947,2.330456943401145,8.760381756543918,2.959794208478677,0.707479412365972,0.7084096397300508,20.551708300373914
7790,Linear Regression,4,0.8662181516532975,0.7237205966096947,2.328266031807359,8.711486772650474,2.951522788773699,0.7094598767383935,0.7094636238840129,20.502020008360162
7790,Linear Regression,5,0.8662181516532975,0.7237205966096947,2.300545978628284,8.529154018913816,2.9204715405074255,0.7157585359007962,0.7162964941937897,20.42437478769713
7790,Linear Regression,6,0.8662181516532975,0.7237205966096947,2.3268331753368505,8.72862429220994,2.9544245280950974,0.7096070652908631,0.7097956188085415,20.91180592233814
7790,SVM,1,0.9019758881822422,0.7424797150840668,1.6728806348140013,5.382892021776842,2.3201060367528124,0.8198186989293345,0.8201821182175375,14.827632833328533
7790,SVM,2,0.9019758881822422,0.7424797150840668,2.0206443772310774,7.00174162185703,2.646080426188333,0.7658082717083954,0.7662410901025328,18.368483175546103
7790,SVM,3,0.9019758881822422,0.7424797150840668,2.1821735318317965,8.006452957482187,2.829567627303187,0.7326540795739409,0.7326546175274316,19.704414675659006
7790,SVM,4,0.9019758881822422,0.7424797150840668,2.2595972225231824,8.475720386747911,2.911309050366847,0.7173230115406097,0.717873183808161,20.746106113373585
7790,SVM,5,0.9019758881822422,0.7424797150840668,2.3103148702896408,8.7036457489468,2.9501941883453706,0.7099434474749344,0.7117713474434477,21.344329532634333
7790,SVM,6,0.9019758881822422,0.7424797150840668,2.325717825877649,8.736928830871472,2.9558296349538606,0.7093307812771864,0.7105215296187214,21.47926752737575
7790,Gradient Boosting,1,0.8987601583193804,0.7356700407475995,1.7687332930064232,5.659270594667451,2.378922149770238,0.8105674914650157,0.8112910805026673,15.01875723096679
7790,Gradient Boosting,2,0.8987601583193804,0.7356700407475995,2.07039945476767,7.281107217792973,2.698352685953594,0.7564641520206283,0.7572550342968511,18.00119934140472
7790,Gradient Boosting,3,0.8987601583193804,0.7356700407475995,2.250965116507182,8.299434367426677,2.8808738895388455,0.7228710476713884,0.7229862885523934,19.651280488738532
7790,Gradient Boosting,4,0.8987601583193804,0.7356700407475995,2.2853854039792347,8.496345361829892,2.914849114762185,0.7166351401176284,0.7166398124530808,20.02236430181326
